contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date,mid_price,IV,Time_Bisect,Time_Newton,Parity_Price,Delta_An,Delta_Num,Gamma_An,Gamma_Num,Vega,Moneyness
TSLA260213C00365000,2026-02-12 17:50:19+00:00,365.0,52.82,50.35,52.85,-8.939999,-14.475387,28.0,83,0.946289599609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,51.6,0.5,0.007430315017700195,0.0003237724304199219,0.34358513518196787,1.0,0.9999999999990905,5.686232299113683e-17,-6871.702703638931,4.9258616246029675e-15,1.1403835348886986
TSLA260213C00367500,2026-02-12 19:01:08+00:00,367.5,49.2,48.25,48.85,-6.8199997,-12.174223,1.0,21,0.7226590234375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,48.55,0.5,0.035454511642456055,0.0003376007080078125,-0.20652736228680624,0.9999999999999984,0.9999999999990905,1.879664895266141e-15,4130.5472457364085,1.6283135629453697e-13,1.1326258237670068
TSLA260213C00370000,2026-02-12 17:52:24+00:00,370.0,47.48,45.25,45.85,-10.869999,-18.628962,39.0,417,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,45.55,0.5,0.03644418716430664,0.0003376007080078125,-0.7066398597556258,0.9999999999999563,0.9999999999962483,5.04563356853887e-14,14132.797195113368,4.370924622785491e-12,1.1249729465793918
TSLA260213C00372500,2026-02-12 17:43:23+00:00,372.5,46.45,43.1,43.7,-16.55,-26.26984,10.0,104,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,43.400000000000006,0.5,0.03795576095581055,0.0003654956817626953,-0.35675235722442267,0.9999999999989863,0.9999999999990905,1.1042971426596748e-12,7135.047144506075,9.566290350174188e-11,1.1174227925755034
TSLA260213C00375000,2026-02-12 17:55:11+00:00,375.0,41.3,40.75,41.35,-10.59,-20.408556,31.0,278,0.6171913281250001,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,41.05,0.5,0.038191795349121094,0.0004582405090332031,-0.20686485469320814,0.9999999999807239,0.9999999999763531,1.9783552330041472e-11,4137.297094232792,1.7138068952277185e-09,1.1099733072916667
TSLA260213C00377500,2026-02-12 17:43:15+00:00,377.5,41.47,38.35,38.95,-5.5,-11.709601,26.0,196,0.6640658593750002,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,38.650000000000006,-4240250.371080184,0.039350271224975586,0.0006716251373291016,-0.10697735216200499,0.0,0.0,-0.0,-8322660.25764426,0.0,1.102622490687086
TSLA260213C00380000,2026-02-12 18:03:00+00:00,380.0,35.02,35.8,36.45,-12.68,-26.58281,143.0,269,0.6259803027343751,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,36.125,-431199.3389795219,0.036843299865722656,0.0006237030029296875,-0.13208984963080184,0.0,0.0,-0.0,-8322158.007694883,0.0,1.0953683953536184
TSLA260213C00382500,2026-02-12 17:53:13+00:00,382.5,34.55,33.3,33.9,-8.900002,-20.483316,12.0,139,0.5566450585937501,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,33.599999999999994,-51053.78322150444,0.03857898712158203,0.0006573200225830078,-0.15720234709954184,0.0,0.0,-0.0,-8321655.757745509,0.0,1.0882091247957517
TSLA260213C00385000,2026-02-12 19:01:09+00:00,385.0,31.75,30.45,31.0,-10.349998,-24.584322,43.0,176,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,30.725,-20701.13126872115,0.03585362434387207,0.0006475448608398438,-0.5323148445683046,0.0,0.0,-0.0,-8314153.507796134,0.0,1.0811428317775975
TSLA260213C00387500,2026-02-12 17:48:33+00:00,387.5,30.79,27.9,28.5,-8.219997,-21.071514,40.0,986,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,28.2,-3113.1432873295616,0.03746175765991211,0.0006349086761474609,-0.5574273420371583,0.0,0.0,-0.0,-8313651.257846757,0.0,1.074167716733871
TSLA260213C00390000,2026-02-12 19:24:03+00:00,390.0,26.71,25.8,26.2,-11.32,-29.765976,470.0,845,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,26.0,162549.08203084933,0.03642082214355469,0.0009999275207519531,-0.25753983950590964,1.0,0.9999999999990905,0.0,7804799.8046875,0.0,1.067282026241987
TSLA260213C00392500,2026-02-12 15:05:58+00:00,392.5,34.67,22.95,23.5,-0.08000183,-0.2302211,6.0,965,1.0000000000000004e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,23.225,-4341.50193961004,0.03683137893676758,0.0012106895446777344,-0.5326523369747065,0.0,0.0,-0.0,-8314146.757948006,0.0,1.0604840515525478
TSLA260213C00395000,2026-02-12 19:22:56+00:00,395.0,21.18,21.15,21.35,-12.849998,-37.760796,76.0,563,0.340826904296875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,21.25,0.0933889645034956,0.03602337837219238,0.0006382465362548828,-0.007764834443491964,1.0,0.9999999999990905,1.2043450660053918e-69,155.29668886983927,1.9486511723836583e-68,1.0537721271756328
TSLA260213C00397500,2026-02-12 19:24:51+00:00,397.5,19.05,18.55,18.95,-10.970001,-36.54231,28.0,461,0.3549869189453124,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,18.75,0.1448282574044255,0.03687906265258789,0.003163576126098633,-0.007877331912311547,1.0,0.9999999999990905,1.9852945922998688e-23,157.54663824623094,4.9815657894112185e-22,1.0471446295204403
TSLA260213C00400000,2026-02-12 19:25:07+00:00,400.0,16.95,16.65,16.9,-12.049999,-41.55172,5995.0,2000,0.42383388671875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,16.775,0.945012772616433,0.00853109359741211,0.0021665096282958984,0.517010170618903,0.9112000599670924,0.9112000361000128,0.012925369270031467,0.012925697916443823,2.116256198991279,1.0405999755859374
